label,source_system,token_name,http_method,url,status_code,content_type,window_start,window_end,yesterday,day_before_yesterday,raw_file,note
wb_content_cards_list,WB,WB_TOKEN,POST,https://content-api.wildberries.ru/content/v2/get/cards/list,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_content_cards_list.json,Directory sample for nmIDs
wb_statistics_orders,WB,WB_TOKEN,GET,https://statistics-api.wildberries.ru/api/v1/supplier/orders?dateFrom=2026-05-21,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_statistics_orders.json,Operational orders for last 7 days
wb_report_detail_by_period,WB,WB_TOKEN,GET,https://statistics-api.wildberries.ru/api/v5/supplier/reportDetailByPeriod?dateFrom=2026-05-21&dateTo=2026-05-27&limit=200&rrdid=0&period=daily,200,application/json; charset=utf-8,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_report_detail_by_period.json,Finance detail for VBro/profit logic
wb_sales_funnel_history,WB,WB_ANALYTICS_TOKEN,POST,https://seller-analytics-api.wildberries.ru/api/analytics/v3/sales-funnel/products/history,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_sales_funnel_history.json,Daily funnel over last 7 days
wb_stocks_products,WB,WB_ANALYTICS_TOKEN,POST,https://seller-analytics-api.wildberries.ru/api/v2/stocks-report/products/products,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_stocks_products.json,Current stocks by product
wb_stocks_offices,WB,WB_ANALYTICS_TOKEN,POST,https://seller-analytics-api.wildberries.ru/api/v2/stocks-report/offices,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_stocks_offices.json,Stocks by region/office
wb_region_sale,WB,WB_ANALYTICS_TOKEN,GET,https://seller-analytics-api.wildberries.ru/api/v1/analytics/region-sale?dateFrom=2026-05-21&dateTo=2026-05-27,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_region_sale.json,Regional sales
wb_search_texts,WB,WB_ANALYTICS_TOKEN,POST,https://seller-analytics-api.wildberries.ru/api/v2/search-report/product/search-texts,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_search_texts.json,Jam search texts yesterday vs day-before
wb_search_orders,WB,WB_ANALYTICS_TOKEN,POST,https://seller-analytics-api.wildberries.ru/api/v2/search-report/product/orders,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_search_orders.json,Search query orders and positions for 7 days
wb_promotion_count,WB,WB_TOKEN,GET,https://advert-api.wildberries.ru/adv/v1/promotion/count,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_promotion_count.json,Campaign counts by status
wb_adv_costs,WB,WB_TOKEN,GET,https://advert-api.wildberries.ru/adv/v1/upd?from=2026-05-21&to=2026-05-27,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_adv_costs.json,Ad spend history
wb_adv_fullstats,WB,WB_TOKEN,GET,https://advert-api.wildberries.ru/adv/v3/fullstats?ids=22327150%2C27783212%2C20652698&beginDate=2026-05-21&endDate=2026-05-27,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_adv_fullstats.json,Ad stats and associated baskets
mpstats_item_full,MPSTAT,MPSTATS_API_TOKEN,GET,https://mpstats.io/api/wb/get/item/243774773?d1=2026-05-21&d2=2026-05-27,200,application/json; charset=utf-8,2026-05-21,2026-05-27,2026-05-27,2026-05-26,mpstats_item_full.json,MPStat item card
mpstats_item_sales,MPSTAT,MPSTATS_API_TOKEN,GET,https://mpstats.io/api/wb/get/item/243774773/sales?d1=2026-05-21&d2=2026-05-27,200,application/json; charset=utf-8,2026-05-21,2026-05-27,2026-05-27,2026-05-26,mpstats_item_sales.json,MPStat item day metrics
mpstats_item_by_category,MPSTAT,MPSTATS_API_TOKEN,GET,https://mpstats.io/api/wb/get/item/243774773/by_category?d1=2026-05-21&d2=2026-05-27,200,application/json; charset=utf-8,2026-05-21,2026-05-27,2026-05-27,2026-05-26,mpstats_item_by_category.json,MPStat category time series
mpstats_search_position,MPSTAT,MPSTATS_API_TOKEN,GET,https://mpstats.io/api/wb/get/item/search-position?path=243774773&d1=2026-05-21&d2=2026-05-27,500,application/json; charset=utf-8,2026-05-21,2026-05-27,2026-05-27,2026-05-26,mpstats_search_position_error.json,Endpoint from .env returns SKU contract error
wb_csv_report_list,WB,WB_ANALYTICS_TOKEN,GET,https://seller-analytics-api.wildberries.ru/api/v2/nm-report/downloads,200,application/json,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_csv_report_list.json,Existing CSV report list
wb_stock_history_daily_zip,WB,WB_ANALYTICS_TOKEN,GET,https://seller-analytics-api.wildberries.ru/api/v2/nm-report/downloads/file/dc60c035-85d3-4244-9bf3-d197768a9508,200,application/zip,2026-05-21,2026-05-27,2026-05-27,2026-05-26,wb_stock_history_daily.zip,Downloaded stock history daily CSV zip
